,P10144,O75509,P09038,O75144,P12544,P18627,P15692,Q9UQV4,P09382,P22301,P14210,Q92583,P20718,P09601,Q13241,P05231,Q16790,O43927,P10147,P39900,O76036,O00182,P32970,P01127,P35968,P01133,Q9BQ51,P42701,P09237,P07585,P13500,P50591,P09341,Q15389,P26842,P48023,P05113,P29965,P10747,P01730,Q02763,Q01151,P49763,Q14116,O95727,Q9NP84,P48061,Q8WXI7,P43489
C29ZV88MB.01,5.66474,7.56235,-0.78425,6.18847,7.20128,2.32523,8.24867,5.54313,7.23872,3.95292,8.90271,10.53904,6.60004,12.24448,6.94098,5.16864,4.19409,8.52098,8.41991,7.93476,4.27654,8.34263,4.66256,9.12943,8.2843,8.60782,1.8627,1.74803,12.31111,4.49553,12.43061,8.10833,8.02427,8.65173,8.1607,5.88384,-0.74663,4.55735,0.90266,3.96466,7.78353,3.26996,8.4436,9.25753,5.74728,5.39471,0.02866,4.43335,6.42141
C29ZV14O4.01,5.30891,7.24065,-0.68217,5.42344,6.67567,1.53857,8.33996,4.98797,7.08097,1.97702,8.83944,12.26152,3.52185,10.97265,5.64754,2.46914,3.90341,8.77022,6.28823,7.55914,3.89665,8.03723,4.16728,10.32956,8.54698,10.5044,1.80317,0.33949,11.94807,4.41734,10.81699,8.61659,8.45751,10.51969,8.04773,6.02434,-0.03382,8.21192,0.56805,3.48671,7.3212,2.43654,8.02911,8.6464,4.23162,5.11361,-0.27714,1.9124,5.77042
C29ZHMYND.01,8.3219,7.28708,-0.51836,5.18809,6.53439,1.76884,7.44751,5.27348,6.96772,3.79814,8.29792,11.60953,4.24163,11.2624,5.86581,2.49942,4.95871,10.79877,5.57747,8.51603,4.17788,8.22863,4.09398,10.16336,8.2176,9.3058,2.42556,1.6269,12.59639,4.75756,10.03337,8.06801,8.40042,9.80183,8.75273,6.08019,1.95872,6.99135,1.1094,4.22633,7.51748,3.06392,8.25634,8.76196,5.08285,5.15595,0.35916,3.99558,7.01994
C29ZRT1JW.01,4.42049,6.77299,-0.17818,5.60441,5.82461,1.39033,8.49647,4.34668,7.0361,2.46713,9.46331,12.04296,4.01183,11.14086,5.74712,3.83451,4.46741,9.28963,6.41838,8.03191,3.08293,7.62525,4.18571,10.31343,8.31634,9.95715,1.5715,0.7049,11.76415,4.27845,9.96135,8.10149,8.2706,9.98424,7.46843,5.74825,0.89419,7.09738,0.50828,3.62779,7.60278,2.27012,7.78009,7.84681,4.34045,4.43031,-0.31143,3.56139,5.03533
C29ZT9ULO.01,4.81673,6.80808,-0.78743,5.13864,6.47018,3.05398,8.54609,4.50892,7.06504,3.84771,10.64737,11.46096,5.15682,11.47962,6.77527,6.16967,3.70671,11.13939,8.82326,7.6552,3.03333,7.85542,4.49956,10.41723,8.59804,10.36571,2.11136,1.42072,11.92438,4.371,13.16978,7.77752,9.84656,10.18555,7.8753,5.75365,0.81216,7.03046,0.9835,3.68596,7.67204,2.3761,7.99538,8.48565,5.06077,4.64341,-0.22459,2.95495,6.0089
C29ZS2MT0.01,5.90456,6.90706,-0.5425,5.73304,8.08894,1.72344,9.37853,4.6076,7.42019,3.11432,10.13276,11.71437,6.51925,10.86836,6.72198,9.80676,4.073,9.11591,9.65798,5.47813,3.78474,8.16096,5.0138,10.39964,8.41459,10.5626,1.75252,0.52913,11.61999,4.44186,13.23844,8.18593,10.67838,10.1765,8.90286,6.70448,1.54295,6.85709,1.27426,4.74324,7.72596,3.61214,8.14069,8.9213,5.40307,5.26036,-0.54902,4.22211,5.7172
C29Z7ZV7P.01,5.86157,7.3826,-0.44273,5.94925,7.0597,1.25654,8.61051,4.78902,7.2023,3.33853,8.88194,12.03078,4.3387,11.43992,5.95721,2.97062,3.89694,8.57321,8.27223,7.21732,4.09331,7.75189,4.19267,10.36977,8.53131,10.00249,1.66852,0.49061,11.78038,4.34538,10.07263,8.16631,8.58457,10.18728,8.51145,6.44276,1.88598,7.14978,0.65188,3.92795,7.36546,2.67753,8.10025,8.91968,5.41493,5.18247,-0.17967,4.14611,5.43342
C29ZQOG2C.01,5.82471,7.25879,-0.28906,6.14863,7.98175,2.80818,9.21524,4.7612,7.18615,4.22705,9.71117,10.58354,5.16693,10.90277,6.44169,8.64546,5.74844,9.19001,12.8487,7.4686,3.22788,8.0014,5.2784,10.22322,8.27859,10.15614,2.47057,2.17765,11.90246,4.51819,9.88582,8.69821,9.41954,10.08916,9.0001,6.76118,2.46577,7.82696,1.26706,4.06544,7.47051,3.18983,7.79062,8.80888,5.87278,5.38537,-0.10257,3.49864,6.30271
C29Z50Y1N.01,4.65976,7.23529,-0.62559,5.73101,6.80116,2.2895,7.45013,4.92667,7.26074,5.32033,8.84907,11.81684,6.22152,11.484,6.09729,2.47419,4.06556,8.46464,6.25278,8.19371,4.08019,8.22739,3.98077,9.57689,8.11933,9.61091,1.71321,0.80546,12.39862,4.59574,10.73783,8.39881,8.18432,9.36125,7.47802,6.52529,-0.77442,6.7782,0.52178,3.68275,7.42631,2.96387,8.18514,8.84433,5.33733,4.88782,0.01795,3.76694,5.93991
C29ZQT1N6.01,3.93875,6.57495,-0.97455,4.7443,6.81565,1.4087,7.76288,4.23646,6.17566,2.55781,8.49117,9.62195,3.43991,11.66368,5.52586,3.12601,3.51321,8.33178,5.76913,6.37048,3.35767,7.40331,3.04674,9.95686,8.19583,9.45568,1.42217,0.96259,10.63721,3.93344,10.50626,7.89881,8.21938,9.65847,7.91116,5.62302,-0.33819,6.40056,0.047,3.42964,7.07191,1.81859,7.63286,9.01748,4.94067,5.88451,0.00178,3.86899,5.35769
C29ZSD9N3.01,3.80337,7.56706,-0.74082,5.73755,6.74185,3.10484,7.6961,6.10436,7.05637,3.70605,8.14538,12.12337,3.95256,10.91882,5.75383,3.32,4.87308,10.47511,5.66967,7.42797,4.04924,8.37021,3.90232,9.42343,8.37652,6.93237,2.04602,1.40321,12.25271,4.41939,10.14145,8.21623,8.25027,8.71636,8.49702,6.36621,-0.20746,5.32083,1.81349,3.86848,7.41812,3.70088,8.40206,9.31535,5.69742,5.67978,-0.03569,4.69935,7.26712
C29ZV88TT.01,4.87545,7.30097,-0.67665,6.14698,7.34948,2.2557,8.29862,5.58476,7.22176,4.25637,8.86186,10.55015,5.58409,12.36626,6.80227,6.78847,4.58867,9.12518,9.47854,8.2191,4.05563,8.38478,4.99055,9.51892,8.03616,9.36238,1.94257,1.79938,12.35826,4.5189,11.56315,7.99395,9.55338,9.19864,8.32108,6.02924,-1.0131,5.64771,1.26881,3.8978,7.79977,3.2707,8.37708,9.23111,5.94834,5.76686,-0.59759,3.82538,6.60103
C29ZV14ZZ.01,5.06711,6.21956,-0.93591,5.07648,7.102,1.51525,7.83732,4.41045,6.72819,1.26308,8.38693,10.05253,4.56725,10.23529,5.21033,0.66627,2.98683,8.71727,5.73532,6.16537,3.49406,8.00397,4.05582,10.27322,8.01296,10.62611,1.01223,0.6014,11.38896,3.99956,9.88423,7.99115,8.49705,9.82455,8.17067,4.27514,0.98432,7.45199,0.57615,3.3439,6.76093,1.94822,7.17702,8.18578,4.15935,4.09364,-0.30887,2.44129,5.01887
C29ZHMY1R.01,6.21712,7.71558,-0.61002,5.76737,7.31748,1.84381,9.15101,5.39673,7.44699,5.0291,10.73374,11.2146,5.28382,11.69646,6.80086,11.2649,4.96604,10.39665,12.73416,7.9336,4.08665,8.32498,5.01674,10.42716,8.63802,9.10071,2.51757,1.63215,12.42936,4.86077,13.12126,8.91741,9.11707,9.01616,8.77877,6.72748,-0.56423,6.55532,0.96818,4.65873,8.12864,3.61496,8.88097,9.01595,5.41001,7.37216,0.24322,4.94709,6.96718
C29ZRT1IG.01,5.16168,6.60589,-0.48124,6.25767,6.42825,1.49429,8.12156,4.33867,6.96424,2.56541,8.80012,9.53459,4.96819,10.48981,5.82201,3.12725,4.58977,8.67469,5.71277,7.0476,3.07057,7.81876,4.53444,10.20939,8.46865,9.94841,1.64822,0.94817,11.39576,4.25817,9.20403,8.11208,8.44741,9.89356,7.81493,5.89986,-0.32289,7.07349,0.54173,3.9528,7.56537,2.43633,7.55232,8.34182,4.53858,4.11711,0.06543,3.93027,4.93182
