,P10144,O75509,P09038,O75144,P12544,P18627,P15692,Q9UQV4,P09382,P22301,P14210,Q92583,P20718,P09601,Q13241,P05231,Q16790,O43927,P10147,P39900,O76036,O00182,P32970,P01127,P35968,P01133,Q9BQ51,P42701,P09237,P07585,P13500,P50591,P09341,Q15389,P26842,P48023,P05113,P29965,P10747,P01730,Q02763,Q01151,P49763,Q14116,O95727,Q9NP84,P48061,Q8WXI7,P43489
C29ZV1CNT.01,4.32065,7.33379,-0.58329,5.52214,7.27875,2.15828,7.92172,5.92525,7.14007,2.58286,8.30234,10.62315,5.37545,10.88193,6.14718,5.14016,4.77931,8.16522,6.60482,7.3664,3.85005,8.17155,4.2859,9.34315,8.18515,7.72696,2.61654,1.4887,11.87486,4.7961,11.19864,8.39115,8.5172,8.93713,7.83414,5.6591,0.46453,5.63795,0.33441,4.00816,7.3799,3.27271,8.01043,9.65685,5.74196,5.30184,-0.14583,4.75807,5.91013
C29Z67GJS.01,4.86188,7.1652,-0.38229,5.52317,7.35392,2.13188,7.61419,6.6707,7.28317,3.72631,8.29525,10.42784,5.33194,11.77002,6.62027,3.83497,4.33398,8.62662,6.38787,8.27243,3.64145,8.5677,4.81408,9.99622,7.9042,9.28593,2.22972,1.32705,11.99937,4.55831,10.50064,7.99365,8.75534,9.85154,7.2712,6.2335,0.16371,7.37937,1.04904,3.61477,7.55598,3.1016,7.97871,9.40036,5.85041,5.37498,-0.24864,2.77756,6.36262
C29ZVFNVS.01,5.29245,7.00937,-0.53235,5.62405,7.18389,1.98677,8.02431,4.67853,7.04557,3.00334,7.74493,11.04411,4.78845,10.91299,5.4284,1.70915,3.56732,8.38912,6.49541,7.60652,4.04716,8.13665,3.76333,9.78695,8.0082,8.66333,1.28501,1.43256,11.15905,4.22788,10.81472,8.02401,7.92398,9.80688,7.94272,6.23786,0.33828,6.20408,1.1357,3.58944,7.28992,2.71529,7.79491,8.44432,4.91312,5.54915,-0.15378,2.65432,5.89392
C29Z18Z28.01,6.18878,7.36958,-0.62232,5.57262,6.66074,2.65604,7.81205,5.62744,7.32852,3.21662,8.68615,10.83186,3.94432,11.58019,6.101,3.64742,4.74964,8.19785,7.50174,7.51811,4.73021,8.46491,3.78689,9.70463,7.96405,8.94073,1.9531,1.48287,11.78184,4.48825,11.00696,7.87319,7.98908,9.47384,8.18025,6.48113,-0.96798,6.4139,0.67394,3.83818,7.49245,3.29268,8.33393,8.46555,6.13097,5.87926,0.02432,2.89701,6.64033
C29ZQBEEL.01,4.71296,7.5102,-0.28876,5.89478,7.16156,3.57929,8.33482,4.49324,7.37896,2.56796,9.2936,9.22427,4.19641,10.88094,6.45572,3.48398,3.6028,7.92709,6.28855,7.48265,4.57921,8.06569,3.65659,10.14509,8.61873,9.51021,2.4756,1.796,11.93527,4.50431,11.19739,8.45782,8.90949,10.04366,7.84906,6.38917,-0.31521,6.99592,0.87034,4.20469,7.92806,2.95548,7.958,8.57074,5.90619,5.08986,0.06714,3.22094,5.889
C29Z0FXHJ.01,5.73284,6.98624,-0.32011,5.79459,7.22446,2.70616,8.55215,5.23449,6.84698,3.92518,9.35492,11.70851,4.36344,10.76846,5.2581,5.11136,4.4645,10.69181,7.31949,7.48486,3.90172,8.28172,3.96041,9.80678,8.33046,8.89764,1.81285,1.64943,11.37588,4.56373,12.04775,9.22727,8.15789,9.23981,7.69208,6.64008,0.00402,6.65017,1.06548,4.37274,7.4168,2.75991,7.64123,9.01191,5.47319,4.35875,0.22599,3.28252,5.80645
C29ZV8Q2Z.01,3.89596,6.92417,-0.65697,5.3745,5.71271,3.46297,7.40516,4.53473,6.61329,2.36007,7.51465,12.18259,2.36357,11.27234,4.77541,6.12293,3.48415,7.12412,5.07282,6.76602,3.12524,7.55406,3.57905,8.19619,8.3034,6.81375,1.61849,0.82086,11.27348,4.38064,10.355,8.30503,7.66761,7.7392,7.499,5.30401,-0.53768,4.5729,0.13111,3.33428,7.05753,2.35972,7.87765,8.47317,4.72594,5.04229,-0.03487,2.5994,5.24044
C29ZR13CS.01,5.31294,7.14732,-0.51239,6.44966,7.09455,1.92557,7.96622,4.4313,6.40686,2.67016,9.50563,8.56279,5.1614,11.33372,6.95117,2.58416,4.10984,8.47771,6.27862,7.83919,4.01299,8.03383,3.26618,9.47259,7.85944,8.79832,2.05855,1.16227,11.93969,4.5192,10.29263,8.81733,8.45036,9.12219,7.75769,6.45087,0.10662,6.37572,0.89151,4.27526,7.7574,2.65615,8.03669,9.86154,5.63369,4.89556,-0.03057,3.5971,5.78185
C29Z897O8.01,4.86196,6.96862,-0.68909,5.08098,6.54445,1.39753,9.50412,4.41768,7.27832,3.78579,10.31827,10.32709,3.93075,11.16532,5.62028,5.08162,4.47053,8.65296,7.05546,7.20261,3.41555,8.05048,5.07063,10.43409,8.24114,10.79457,1.58601,1.53448,11.58411,4.94365,11.07845,7.98824,9.44322,10.87741,8.01266,5.45988,-0.80582,8.49634,0.21168,3.9725,7.15547,2.47003,8.14167,8.57067,4.64486,5.68183,-0.03387,6.02912,6.54306
C29ZNECV6.01,5.29619,7.60866,-0.77331,5.8321,6.81049,1.92941,8.01126,6.03268,7.44483,3.00819,8.50349,10.68769,5.08438,11.32151,6.23089,2.93257,4.96984,8.71991,6.25859,7.80609,3.95133,8.54101,4.76242,9.76544,7.99745,9.15259,2.03326,1.29842,12.61004,4.81557,10.65739,8.08588,7.99804,9.45592,8.33609,5.68083,2.0619,6.60784,0.77824,3.72366,7.39672,3.13098,8.24323,8.8479,6.02634,5.71128,-0.03043,2.80117,6.43135
C29ZWWKK7.01,4.3059,7.07479,-0.71281,7.4785,6.96704,1.61959,8.2801,4.94624,7.00698,3.00787,8.08462,11.33497,4.71807,10.74518,6.40838,2.23544,4.80672,8.84182,6.56556,7.22704,3.22415,7.96065,4.47584,10.36719,8.18123,10.67029,2.79327,0.96673,11.93064,4.59849,10.64222,8.11969,8.99297,10.45017,7.90778,6.1187,-1.04232,8.41938,0.2311,4.54956,7.7938,2.60824,7.69708,8.52843,5.75643,5.28323,-0.06673,5.50128,5.58631
C29ZFMTLJ.01,3.26847,7.02007,-0.72175,5.18545,6.29556,1.81807,8.93049,4.32156,7.31252,3.49455,10.24158,11.35577,3.02174,11.28787,6.09214,7.429,3.49102,9.94178,7.97642,6.73729,3.26656,7.42213,4.21956,10.55045,8.51888,11.21489,2.45607,0.37569,11.45921,4.03411,10.92279,7.08231,8.73768,10.52586,7.85057,5.41837,-0.66089,8.55749,0.5924,3.97436,7.71,2.03739,8.12604,8.61877,4.79613,6.14144,0.13894,4.26251,5.35582
C29Z67G17.01,6.49729,7.25131,-0.68408,5.23149,8.18085,2.11306,7.81882,7.45899,7.11895,5.84145,9.22541,8.79048,6.31524,12.00548,7.56307,10.57624,4.23351,9.69241,10.68556,6.22333,3.94694,8.78092,4.97782,8.9157,7.8722,7.79373,2.43875,2.36335,11.39816,4.61663,12.48303,8.21145,7.06198,8.26413,7.47751,6.01869,-0.07616,4.74009,0.95239,3.75802,7.62695,2.85232,8.12324,9.92119,5.86395,5.78479,-0.02712,3.52863,5.84072
C29ZY1BKK.01,4.22104,6.68139,-0.48292,5.49104,6.17828,1.09904,7.6535,4.49729,6.88055,4.03975,7.80309,11.26201,3.18087,11.55409,5.55448,2.81978,3.58108,8.30916,6.18567,7.43024,3.37054,7.9037,3.29806,8.68325,8.52667,6.69995,1.61714,0.94421,11.51334,4.22918,10.42539,7.36699,7.68265,8.37014,7.28587,5.56767,1.39974,4.70284,0.41495,3.45226,7.29465,2.38486,7.26078,8.10343,4.87023,5.02924,-0.314,2.87013,5.10738
C29ZXZKSO.01,5.48138,6.97635,-0.11311,4.73389,6.84281,1.28697,7.94588,4.61382,7.17103,2.99286,10.20667,11.82299,3.8189,10.79808,5.26008,4.06682,3.67239,7.77217,8.46341,7.3438,3.83159,8.05553,4.00767,10.41365,8.70925,11.35118,1.78883,1.05939,11.52239,4.25092,10.28876,8.22388,9.58253,11.15445,7.4578,6.24317,0.69633,9.47361,0.3231,3.474,7.47006,2.05006,7.84944,8.30714,4.19177,4.70543,0.05455,4.71912,5.75666
C29ZQBEI2.01,4.21663,7.59521,-0.52215,5.69202,7.14675,3.48932,8.1055,4.29449,7.28768,2.51157,8.94123,9.87936,4.00451,11.20706,6.51493,3.03641,3.92568,8.09951,6.64635,7.02456,4.20692,7.87701,3.56328,10.39422,8.99521,10.29308,2.36015,1.58243,12.00661,4.46921,11.01905,8.54409,9.10843,10.4527,7.97373,6.81387,-0.03085,7.7567,1.07634,4.15001,8.0984,2.90031,7.99237,8.64629,5.89806,4.68531,0.4075,4.58741,5.88455
C29Z0FXQ0.01,4.50789,7.20317,-0.8935,5.96014,7.25415,2.07025,7.50781,4.55412,6.94449,2.95941,8.91019,10.36742,3.79413,11.00494,5.20847,2.15244,4.72057,8.79621,6.26211,6.35317,3.39592,7.95959,4.68795,9.99784,8.578,9.03308,1.78527,1.11614,11.65611,4.58863,10.45992,8.27353,8.2811,9.41445,8.11145,6.3068,-0.33423,6.70108,0.9812,4.19101,7.57956,2.87773,7.62106,8.84848,5.03197,4.80836,0.02,3.39981,5.87831
C29ZV8QDZ.01,4.62289,7.18334,-0.76428,5.6562,5.98431,3.55356,7.72499,5.05842,6.93669,3.1156,7.93763,10.44311,2.85853,11.51069,5.19597,3.92024,3.81338,7.48099,5.28165,7.18906,3.64298,7.93232,3.9138,9.04442,8.55235,7.76982,1.62832,1.1386,11.46863,4.55509,10.81396,8.60453,8.33036,8.41499,7.87652,5.54843,0.55332,5.61268,0.4341,3.54363,7.3639,2.79355,8.09356,8.98095,4.79627,5.86142,0.37523,3.29761,5.72673
C29ZFXKJS.01,5.25526,7.31809,-0.67458,6.00594,6.7005,1.61886,7.52615,4.36765,7.20811,2.60082,8.90921,11.29459,3.9782,10.89026,6.40085,2.73028,4.67182,7.71821,5.83203,6.52105,3.74369,7.68619,3.8269,10.24296,8.45612,9.55233,1.88654,0.92978,11.87543,4.60216,10.44104,8.72006,9.31589,9.86213,7.78423,6.14705,1.2637,7.05972,0.4152,3.28384,7.41383,2.48767,7.74215,8.33024,4.56287,4.9714,0.29844,3.26446,5.12111
C29Z897JK.01,5.29451,6.67827,-0.82832,5.00519,6.1498,0.44288,8.07069,3.63473,6.87208,3.31033,9.28973,12.28355,5.57729,11.47596,5.33435,0.71336,5.54403,9.42341,5.53357,3.33214,2.21779,8.60671,3.6357,10.28509,8.17194,10.32161,0.75833,0.48663,10.61564,4.91733,9.51534,7.80661,7.33517,10.33206,7.31516,4.44026,-0.3102,7.05085,-0.20707,2.84025,7.00449,1.2608,7.36428,8.27474,3.67891,4.75485,-0.59845,5.26967,3.64169
C29ZNECY6.01,5.90127,7.68689,-0.70474,6.44724,6.79253,1.93453,7.62018,6.57407,7.46164,3.41196,8.62265,11.43613,4.65451,11.34496,6.18242,1.64599,4.87658,8.83237,5.76452,7.83135,3.80499,8.44873,5.01764,10.2719,8.27856,9.91959,2.48248,1.18987,12.67194,4.99146,10.86115,8.41793,7.95145,10.01185,8.3929,5.63973,1.9526,7.21684,0.78758,4.14964,7.56243,3.25124,8.28295,8.64655,6.07605,5.57586,0.15915,2.93002,6.41481
C29ZWWKDU.01,4.00101,7.12278,-0.4879,5.70373,6.59177,1.49523,7.80054,4.48503,6.7924,2.26852,8.39534,10.79156,4.13848,11.85496,6.20279,2.10458,4.66603,8.72619,6.10292,6.94511,2.62051,7.97513,3.79857,10.26149,7.93314,9.98425,1.56702,0.70633,11.78378,4.51977,10.44592,7.87245,8.982,10.09862,7.55684,6.05671,-0.37635,7.57672,0.38477,3.81311,7.70828,2.29992,7.29558,8.57333,5.03418,5.36174,-0.03916,3.93934,5.10967
C29ZFMT1D.01,4.30675,7.07782,-0.12467,5.56631,6.93336,1.63454,8.6986,4.61351,7.48996,3.5454,9.60234,10.25919,4.31998,11.35119,6.14485,6.55689,3.28017,9.32775,8.733,6.78917,3.437,7.97935,4.65472,10.51638,8.55809,11.40099,2.57582,0.58428,11.76993,4.29774,12.85928,7.4488,8.71169,10.61125,8.33002,5.9885,0.1896,8.26286,0.82993,4.04553,7.92847,2.5209,8.22817,8.89597,5.04224,5.5178,-0.10155,3.36337,5.58904
C29ZP1PXO.01,6.95185,7.16407,-0.36062,6.25781,8.12944,2.78436,9.06933,5.52981,7.80801,5.03496,10.08284,11.6321,8.17079,11.026,7.13965,12.37736,4.25816,8.69879,13.32689,8.15543,4.27247,8.79937,5.13928,10.44501,8.81249,10.73519,2.69061,2.56902,11.78855,4.71931,13.72014,8.19506,10.88892,10.80554,8.31443,6.82742,1.7791,8.27166,1.38388,4.36611,7.73386,3.5758,7.91394,9.04142,5.70177,5.24218,0.55946,4.48496,6.09663
C29ZY1BNA.01,4.63802,6.76117,-0.2199,5.51014,6.71118,1.36621,7.79072,4.79107,7.1133,2.5881,8.6017,9.0728,4.2394,11.40405,5.9105,1.84131,3.85414,7.06969,10.09035,6.99191,3.26791,7.89061,3.39174,9.03034,8.65927,7.65876,1.30847,0.9538,11.66494,4.37164,10.28624,7.71283,8.00122,8.62788,7.46319,5.80487,0.38994,5.40375,0.19416,3.68262,7.44873,2.37587,7.33491,8.07385,4.94847,5.1138,-0.28218,2.12775,5.20534
C29ZXZK25.01,7.65419,7.01566,0.01544,6.01126,9.40345,1.59274,9.10514,6.09274,7.70077,2.98989,11.03613,12.36979,7.51366,11.5049,6.03878,7.33538,3.77147,9.50588,10.34105,8.33592,4.86758,9.34863,5.24101,9.99758,8.78297,11.88739,2.65106,3.00666,12.29411,4.50624,10.29814,8.67113,10.40154,11.12257,9.02852,7.15666,0.41947,9.58827,1.64846,5.40127,7.90436,3.38246,8.02792,10.40427,5.12962,5.24555,-0.25651,3.66556,6.92042
C29Z5VBAC.01,5.09163,7.27448,-0.51602,5.90598,7.63351,2.15384,9.38425,5.73751,7.21259,4.61076,10.68681,11.79908,6.57981,12.37336,5.25161,6.26946,3.88501,11.05939,7.90853,7.09582,3.78601,7.92601,4.08178,10.16328,8.59576,9.23993,2.46875,2.16102,12.15425,4.42798,10.33023,7.86133,8.6933,9.46946,8.47955,6.10391,4.05466,6.78232,1.36974,4.26446,7.77773,2.86986,8.19006,9.34779,5.39263,5.33989,-0.10637,3.19321,6.37513
C29Z0FXV2.01,4.83844,7.18648,-0.7239,5.82813,7.17317,1.94862,7.37814,4.31769,7.03792,3.11694,9.33748,10.39325,3.66595,11.00311,5.2663,3.37478,4.91079,8.69626,7.86546,6.90487,3.32642,7.79198,3.78967,9.84937,8.54518,8.59852,1.79077,0.88572,11.70985,4.65232,10.84525,8.23938,8.24476,9.03577,8.05999,6.34065,-0.33125,5.90571,0.98792,4.08474,7.56442,2.70508,7.57484,8.57048,5.24478,4.92206,0.26261,3.4667,5.5612
C29ZV8QW3.01,4.43405,7.06471,-0.79051,5.59582,5.85923,3.50387,7.37722,4.79815,6.92784,2.74127,7.6867,10.54065,2.56985,11.46611,5.06745,3.34266,3.60647,7.44956,5.11901,7.60968,3.25091,7.87849,3.59122,8.6692,8.33228,6.38995,1.68995,0.91379,11.3114,4.55093,10.7153,8.30201,7.51094,8.33936,7.60182,5.26927,-0.61535,4.61504,0.18349,3.52754,7.27197,2.61176,7.81573,8.86595,4.66483,5.43208,-0.27351,3.13273,5.44903
C29ZFXK2K.01,6.26829,7.23056,0.9541,6.03186,7.72031,1.78624,8.98996,4.87907,7.52042,3.98524,10.50372,9.86009,6.93795,11.24352,7.21908,8.39961,4.74684,9.592,9.43975,5.49389,4.26581,8.87818,4.35741,10.57833,8.36992,10.32527,2.20574,1.48608,11.71873,4.61446,11.47713,8.8896,9.0085,10.17964,8.7202,6.19229,0.87657,7.48915,0.86184,4.6481,7.73853,2.91016,8.03309,9.21874,4.54235,5.37465,-0.27693,3.89463,5.4565
C29Z897B1.01,4.73843,6.80127,-0.61588,5.21191,6.48266,1.05519,8.74164,4.06223,7.30715,2.98265,8.89659,11.35456,4.31907,11.48731,5.99408,5.04191,4.56871,9.43339,9.26485,5.16,2.78558,8.14365,4.39335,10.35295,8.40292,9.70894,1.3436,1.36454,11.67358,4.59075,11.0145,8.48141,8.71352,10.45771,7.49138,5.43738,-1.2027,7.08573,0.17296,3.72688,7.41813,2.00821,7.56427,8.67978,4.15356,4.71358,-0.25307,6.29556,5.23272
C29ZNECF5.01,5.45402,7.67066,-0.79633,5.75544,6.57035,2.06193,7.83014,5.93526,7.3563,3.35114,8.86091,10.36978,4.69798,11.86,6.17913,1.95855,5.19816,8.18841,5.93861,7.81357,3.68254,8.57162,4.62678,10.22676,8.09481,9.82836,1.75142,0.89178,12.63952,4.82532,10.90095,8.35274,7.819,9.87378,8.3645,5.58561,1.67982,7.42939,0.71249,3.90802,7.51999,3.11723,8.24764,8.51754,5.47097,5.40629,-0.01029,2.679,6.16935
C29ZFMT1I.01,5.95248,6.87494,-0.51388,5.08509,7.1877,1.80755,9.29446,4.62757,7.17585,3.58123,9.52291,12.04501,5.53833,10.87941,5.9815,8.52197,3.68853,10.05819,9.46046,7.63917,3.77356,8.26333,3.72546,10.29931,8.54997,9.70648,1.45606,1.45187,11.29477,4.18379,12.51963,7.87576,7.90238,9.99375,8.01851,6.38495,3.28412,6.93901,0.9445,3.72432,7.65342,2.83192,8.07363,8.40565,4.69826,5.15287,-0.04126,3.22587,5.72491
C29ZP1P6Q.01,8.89311,7.3087,-0.38738,5.91284,8.78427,3.09961,8.74184,5.79156,7.52715,5.35932,9.97638,10.0651,9.82655,10.26352,7.53166,12.6511,4.41322,9.14124,13.32573,8.15114,4.56175,8.97812,5.41773,10.46821,8.73975,10.3726,2.27323,2.79641,11.70596,4.35928,13.71897,8.51316,10.47057,10.12963,8.98764,6.97467,0.25958,7.37656,1.70681,4.42876,7.95462,3.70282,8.11076,9.74718,5.91871,5.4274,-0.17662,3.88011,6.33298
C29ZY1BWL.01,4.02392,6.87824,-0.69343,8.59336,6.29477,1.41318,6.93641,5.19657,6.87536,2.12739,8.14579,8.97874,3.52336,9.67184,5.64208,1.67262,3.58837,6.6716,5.71221,7.09074,3.13838,7.91704,3.73793,8.85388,8.23568,6.82411,3.95029,0.69807,11.53594,4.89003,10.40287,7.72801,7.77274,8.24269,7.51863,5.92819,-0.48122,4.52804,0.34329,4.58688,7.33138,2.44064,7.4751,7.90893,5.28548,5.16908,-0.10813,1.89389,5.44685
C29Z19KNN.01,4.75209,6.64234,-1.29694,8.01523,6.69562,1.31949,7.84445,4.51404,6.55592,3.13663,8.34097,12.54697,4.11347,10.18655,6.48421,6.02288,3.81377,8.52403,5.94263,7.40974,2.75196,7.66899,3.65399,9.39628,8.34901,9.25785,4.18391,1.30539,11.94141,4.96356,10.01434,7.52736,7.46719,9.34654,7.0542,6.4399,-1.26888,6.30331,0.40142,4.88881,7.58564,2.46826,7.52412,8.38199,5.33203,4.152,-0.2278,3.49638,5.1876
C29Z5VB6S.01,6.08246,7.44676,0.53399,6.0558,7.55302,2.16477,8.5469,5.576,7.35719,3.27655,8.21255,10.9597,6.07782,11.86162,5.90512,2.87319,4.33053,8.00017,7.60294,7.03205,4.26137,8.46918,4.565,9.8713,8.53921,9.66177,2.29338,2.06719,12.212,4.63547,10.54965,8.27306,8.50412,9.76786,8.3694,6.27957,3.53654,7.24537,0.9924,4.13529,7.54017,3.34629,8.14638,9.22987,5.29028,5.78292,0.02287,2.80048,6.13603
C29Z0FXOE.01,5.04254,7.28125,-0.72956,6.28335,6.35215,2.08433,8.19263,5.07773,6.8936,3.54905,9.55707,10.20322,3.20909,11.29984,4.77821,4.23799,4.2929,8.45589,7.6275,5.92327,2.9851,8.54451,4.38044,10.06609,8.58516,8.88449,1.99988,0.72893,11.43119,4.50982,12.12578,8.31466,8.54383,9.35089,7.77816,6.0289,0.01189,6.31718,0.60595,3.65442,7.40236,2.66131,7.73821,9.0226,4.76696,4.63768,-0.17945,4.18596,5.80499
C29Z0DAK9.01,5.77361,6.7983,-0.45172,5.08514,7.05109,1.99452,8.6418,5.39488,6.89314,6.30347,10.93151,11.87337,4.53241,10.76603,5.37389,7.66318,3.54752,10.75846,8.17112,9.13485,3.64014,7.94743,5.21109,7.61423,8.38155,7.43075,2.39493,1.88557,12.50129,4.08908,10.51077,7.90179,7.13705,7.19313,8.56023,4.54923,-0.51519,4.93015,0.62119,4.55706,8.233,2.52217,8.37427,9.21201,5.49687,5.03403,0.26544,4.63248,6.78059
C29ZYJMAY.01,5.15092,7.72654,-0.48599,5.82397,6.89385,2.47507,8.86672,6.13991,7.38359,4.11765,9.51394,12.46189,3.92878,11.9712,6.66824,4.98418,4.32456,9.34363,6.9024,8.37987,4.32717,8.92487,4.65326,9.79139,8.72675,8.94162,2.17468,1.4994,12.54577,4.86125,11.43022,8.5375,8.64447,9.84431,8.2092,6.08533,0.49823,7.62128,0.44405,4.14595,7.74536,3.40287,8.85499,9.41,5.68215,5.24481,0.04167,4.2968,6.4637
C29Z8970G.01,4.5288,7.18689,-0.58657,4.94688,6.09895,1.67669,9.51536,4.32111,7.51044,6.88499,11.24138,10.36376,4.52122,12.30443,5.92306,5.61759,5.26473,11.0406,7.94916,5.88379,2.77763,8.82294,6.60016,10.46041,7.88432,10.85157,1.95078,2.11819,12.02067,5.40429,13.54548,8.35386,8.5002,10.91235,8.31609,5.01108,-1.20351,8.04477,0.19744,3.45098,7.68011,2.99995,8.37451,9.17096,4.89907,6.04768,-0.06021,8.68051,7.82286
C29Z41BL8.01,5.47131,7.67678,-0.44707,5.88696,6.47901,1.28348,8.27531,4.31947,7.22032,4.59883,9.10162,11.37144,2.77251,11.13382,5.64271,13.08926,4.69858,8.10159,13.66064,6.78708,3.43934,7.85219,3.80348,9.83773,8.66499,9.09532,2.87618,0.87733,12.16246,4.85282,12.02647,8.32865,9.18497,9.56599,7.70736,6.08904,,6.25429,0.40502,3.6561,7.58881,2.81859,7.97911,7.78519,4.60244,5.41375,-0.0515,5.04745,5.47461
C29Z21WUW.01,5.04175,7.01259,-0.58118,5.83265,6.65753,1.43467,8.66222,3.82465,7.17623,2.55029,9.0525,9.72523,5.5794,10.00649,6.40175,5.06361,4.07563,9.02555,8.78873,7.07891,3.51848,8.38824,3.25803,10.3409,8.46686,9.96776,1.63382,1.15261,12.44897,4.34763,10.46573,7.67544,8.62513,9.98033,7.24856,5.45555,0.7744,7.61125,0.61895,3.32972,7.42089,2.50965,7.44878,8.18517,4.9599,5.01035,-0.10288,4.53656,5.0566
C29ZP1P2N.01,8.91144,7.38988,-0.27947,6.20603,9.08538,3.5859,9.04044,6.02847,7.84927,8.26747,9.77231,11.43078,9.47868,10.73731,7.6115,13.02968,4.51111,10.47764,13.37056,6.86808,4.41727,9.19277,5.45391,10.46921,8.84612,11.02634,2.54831,3.11854,11.76575,4.55448,13.69644,8.73034,11.65099,10.68064,8.70937,6.78742,0.99761,8.47417,2.1323,5.45184,8.27307,4.60077,8.23232,10.08748,6.23536,5.045,0.26139,3.55158,6.51398
C29Z2FWV7.01,5.49567,6.95773,-1.0753,5.44355,6.27327,0.76596,7.80872,4.56117,6.94682,3.85945,8.24355,12.10699,3.39698,11.21959,5.34962,4.24871,4.06579,8.81998,6.29845,6.32755,3.52075,7.81663,3.75037,10.05065,8.36041,10.27409,1.74248,0.46781,11.63438,4.34593,10.88776,7.31733,8.44394,10.28362,7.42244,6.16212,-0.6434,7.49016,0.24637,3.21158,7.32163,2.82698,7.29919,7.77371,5.03383,4.41346,-0.53592,4.15396,5.34499
C29Z19KYI.01,5.60862,6.84369,-0.4627,5.37778,7.92258,2.22558,8.21504,4.79872,7.25411,2.85881,9.54023,11.50609,5.30189,11.64249,7.14179,3.90587,4.03746,9.03861,7.10578,7.24224,3.29118,8.52759,3.83813,9.79043,8.44229,9.83894,1.86967,2.20534,11.91837,4.31517,10.02266,8.16722,8.90866,9.43564,7.61698,6.92767,-0.44541,6.98616,1.25189,4.14278,7.73905,2.74298,7.471,9.50315,5.90989,5.0351,-0.20641,3.98906,5.37283
C29Z5VB02.01,5.58331,7.03195,-0.6205,5.65174,6.86512,1.5169,8.31854,4.75518,7.2299,3.21539,7.92184,11.25821,5.488,10.96151,5.16082,4.05685,4.34858,7.48836,7.50035,6.10161,3.41103,8.07793,3.4117,9.93258,8.27417,10.16682,1.69397,1.36343,11.91067,4.44256,10.51332,8.13125,8.18491,9.96928,7.68087,5.78064,2.38309,7.10586,0.45934,3.71069,7.35173,2.43955,7.82698,8.57285,4.63221,5.46709,0.18761,2.30339,5.18599
C29Z7IZ9S.01,6.73474,6.89763,-0.07043,5.19094,7.86381,2.59852,9.47024,4.89235,7.07964,5.64522,10.52559,11.24898,7.27214,11.40944,7.31573,4.68542,3.52185,11.36737,6.65324,9.57485,3.41512,8.0476,4.44741,10.44893,8.75038,9.97939,2.00265,1.41878,11.88423,4.37232,10.34042,8.39397,8.96922,10.59574,8.33624,6.14667,0.50226,5.71611,1.01321,3.88876,7.96255,2.54142,7.8213,8.72898,6.18151,4.74915,-0.41558,3.05938,5.76603
C29Z0DAAF.01,5.97622,7.21383,-0.47515,5.26733,7.45308,2.29618,8.59333,6.20901,7.09128,6.66203,10.81984,11.46747,4.89654,10.42448,5.46117,7.84886,3.53881,11.05776,8.52855,9.20953,3.30251,8.10165,5.48076,8.8139,8.4,8.42053,2.46974,1.40194,12.79417,4.1505,11.14217,8.27492,8.45663,8.11685,8.53806,5.61506,-0.16737,5.57679,1.04227,4.15629,8.30424,2.81911,8.53754,9.19639,5.21725,5.82153,-0.21327,4.53411,7.44807
C29ZLV7WG.01,6.90096,7.74106,1.785,5.58438,7.78277,4.39872,9.89231,5.87803,7.36829,4.92175,10.33538,11.92045,6.91902,11.16163,7.2941,5.85355,4.42003,11.38162,8.10733,8.99932,4.78847,8.84443,4.81874,10.63802,8.70831,9.99804,2.30988,2.88048,11.72124,4.43819,10.76996,8.63784,9.30916,10.70634,9.30283,6.68331,1.03719,8.02054,1.58311,4.56747,7.8491,3.57817,8.67378,9.94391,7.05594,5.65799,-0.19325,4.487,8.37128
C29Z58NR0.01,4.93521,7.60534,-0.29674,5.64293,6.98506,2.53333,8.6436,5.38175,7.61827,3.99854,8.97148,9.79036,4.09704,11.36613,5.98633,5.29958,4.82215,8.83886,8.61433,7.8139,4.34765,8.83107,4.46688,9.89128,8.33535,9.90787,2.32835,1.6764,12.0953,4.58277,12.12468,8.30548,9.53738,9.50769,8.26349,6.41742,-0.0372,6.6618,0.96491,4.48527,8.31555,2.88211,8.32183,9.87943,5.3501,5.01119,-0.20171,2.63621,6.11636
C29Z41BE9.01,5.54061,7.3258,0.02923,5.56086,7.68938,1.71125,8.32196,4.45954,7.24267,3.72608,9.32283,9.41975,4.77771,11.50806,6.19221,11.61458,4.70376,9.04272,13.66477,6.19555,3.46003,8.23933,4.18919,9.84448,8.57573,9.32422,2.62763,1.25173,11.85638,4.70629,10.21078,8.28099,9.21284,9.03214,8.56548,6.26118,0.56085,6.15876,0.81854,4.32655,7.51941,2.67842,7.80104,8.7121,5.16534,5.37502,-0.383,5.51979,5.36893
C29Z21WDF.01,5.08839,7.02473,-0.69088,5.93767,6.97746,0.9375,7.99263,3.39891,7.0203,2.5563,8.55574,10.09548,5.15958,11.21691,5.92856,1.11377,4.70862,8.45305,5.91583,6.66203,2.82294,7.75885,3.6491,10.24109,8.60632,9.91938,1.70196,0.85961,12.2468,4.41768,9.66553,7.64115,8.55626,10.12238,7.76426,6.05578,0.7649,7.84154,0.52303,3.40062,7.38894,2.29464,7.43957,7.9079,4.79678,4.66503,-0.16863,4.6457,4.87962
